Date,Close,Open,High,Low,Volumn,Percent Change
22/09/2021,"1,453.22","1,449.44","1,454.19","1,440.02",706204600,0.48%
21/09/2021,"1,446.22","1,444.75","1,455.71","1,433.77",167219900,-0.85%
20/09/2021,"1,458.66","1,468.11","1,474.66","1,454.95",180834700,0.21%
17/09/2021,"1,455.59","1,452.31","1,459.94","1,451.38",188921000,0.46%
16/09/2021,"1,448.98","1,452.89","1,454.23","1,442.77",134634300,0.29%
15/09/2021,"1,444.85","1,433.17","1,447.64","1,432.76",130108600,0.47%
14/09/2021,"1,438.16","1,444.24","1,448.71","1,436.98",148168200,-0.47%
13/09/2021,"1,444.99","1,450.00","1,454.72","1,444.71",162870500,-0.23%
10/9/2021,"1,448.33","1,451.78","1,453.81","1,447.44",139146600,0.07%
9/9/2021,"1,447.28","1,432.84","1,449.16","1,431.55",166188800,0.95%
8/9/2021,"1,433.71","1,447.43","1,448.44","1,431.38",152206200,-0.72%
7/9/2021,"1,444.10","1,446.00","1,454.82","1,441.69",205271300,0.18%
6/9/2021,"1,441.54","1,433.03","1,441.92","1,429.55",208734600,1.02%
1/9/2021,"1,426.94","1,425.35","1,434.73","1,423.08",176638100,-0.12%
31/08/2021,"1,428.66","1,435.52","1,437.38","1,425.71",152484200,-0.17%
30/08/2021,"1,431.05","1,427.48","1,434.25","1,420.77",154142100,0.88%
27/08/2021,"1,418.57","1,403.99","1,418.57","1,391.88",202511100,0.43%
26/08/2021,"1,412.45","1,432.37","1,433.67","1,408.08",152194200,-1.12%
25/08/2021,"1,428.51","1,420.74","1,430.58","1,411.07",153263700,0.72%
24/08/2021,"1,418.26","1,415.71","1,423.46","1,406.94",203685300,0.44%
23/08/2021,"1,412.00","1,443.67","1,446.73","1,412.00",250637200,-2.65%
20/08/2021,"1,450.45","1,495.67","1,497.03","1,436.24",348767300,-3.63%
19/08/2021,"1,505.01","1,489.74","1,505.01","1,479.60",206497700,1.04%
18/08/2021,"1,489.54","1,493.12","1,500.17","1,484.26",192677500,-0.31%
17/08/2021,"1,494.12","1,508.41","1,512.27","1,488.74",217175800,-0.44%
16/08/2021,"1,500.77","1,490.70","1,504.03","1,487.52",258600300,1.11%
13/08/2021,"1,484.25","1,477.72","1,484.67","1,463.48",207219000,0.49%
12/8/2021,"1,477.06","1,487.10","1,493.69","1,477.06",184219700,-0.73%
11/8/2021,"1,487.91","1,497.13","1,506.80","1,487.91",245343900,-0.43%
10/8/2021,"1,494.41","1,506.50","1,508.92","1,490.00",185390800,-0.23%
9/8/2021,"1,497.83","1,472.78","1,499.90","1,467.32",206115700,1.42%
6/8/2021,"1,476.79","1,488.11","1,491.52","1,476.79",211700400,-0.65%
5/8/2021,"1,486.46","1,469.13","1,488.79","1,465.10",570804900,0.97%
4/8/2021,"1,472.20","1,476.82","1,480.28","1,465.66",218545200,0.16%
3/8/2021,"1,469.87","1,449.97","1,469.87","1,449.33",225709900,1.50%
2/8/2021,"1,448.21","1,443.60","1,457.89","1,438.35",198500500,0.07%
30/07/2021,"1,447.23","1,430.48","1,451.45","1,428.85",224343000,1.38%
29/07/2021,"1,427.55","1,419.55","1,427.55","1,413.59",166489800,1.42%
28/07/2021,"1,407.50","1,406.25","1,415.39","1,402.60",120700100,-0.17%
27/07/2021,"1,409.85","1,415.50","1,423.30","1,408.80",190307000,0.42%
26/07/2021,"1,403.96","1,397.01","1,409.94","1,384.87",152848200,0.17%
23/07/2021,"1,401.53","1,422.07","1,430.43","1,401.53",235469400,-1.89%
